Titre,Note,Prix,Moniteur_Taille_ecran_(pouces),Moniteur_Equivalence_(cm),Moniteur_Resolution_ecran_(pixels),Logiciels_Systeme_exploitation,Logiciels_Version_(Bits),Processeur_Reference,Memoire_vive_Capacite_totale_(Go),Memoire_vive_Type,Stockage_Capacite_disque_dur_(Go),Stockage_Port_disque_dur,Stockage_Vitesse_rotation(tours/min),Stockage_Capacite_SSD_(Go),Stockage_Port_SSD,Dimensions_l_x_h_x_p_(cm),Dimensions_Poids_(g),Carte_video
Ordinateur portable Lenovo YOGA c730-13IWL-779,,1199.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,,,,256.0,,21.63 x 30.68 x 1.39,1100.0,
PC Gamer MSI GS65 Stealth 8SF-051FR,,2599.0,15.6,39.6,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7 8750H,16.0,DDR4,,,,512.0,NvMe PCI Express,24.77 x 35.77 x 1.79,1900.0,NVIDIA GeForce RTX2070 avec 8 Go
Ordinateur portable Asus Zenbook UX362FA-EL112T Numpad,,1299.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,,,,256.0,PCI Express,1.69 x 30.5 x 1.96,1300.0,
Ordinateur portable Acer Aspire A517-51G-86EX,5.0,1049.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,,DDR4,1000.0,,5400.0,128.0,M.2 SATA,42.3 x 2.8 x 28.9,3000.0,NVIDIA GeForce MX 150 avec 2 GO DDR5
PC Hybride Microsoft Surface Book 2 15''- i7 16Go 512Go,,3298.79,15.0,38.1,3240 x 2160,Windows 10 Pro,64.0,Intel Core i7-8650U,16.0,,,,,512.0,,34.3 x 2.3 x 25.1,1900.0,NVIDIA GeForce GTX1060 avec 6 Go
PC Gamer HP OMEN 15-dc0014nf 144hz,,1699.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4 SDRAM,1000.0,S-ATA,7200.0,128.0,PCI Express,26.3 x 2.5 x 36,2500.0,NVIDIA GeForce GTX1060 avec 6 Go GDDR5
PC Gamer Asus SCAR2-GL704GM-EV027T,,1999.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4,1000.0,S-ATA,,256.0,PCI Express,1.64 x 39.9 x 27.3,3000.0,NVIDIA GeForce GTX1060 avec 6 Go GDDR5
Ordinateur portable Lenovo YOGA C730-15IWL - 365,4.0,1499.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,,,,512.0,,24.9 x 36 x 1.7,1900.0,NVIDIA GeForce GTX1050 avec 2 Go
Ordinateur portable Asus Zenbook UX480FD-E1053T,,1799.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,,,,512.0,PCI Express,1.79 x 32.3 x 22.5,1600.0,NVIDIA GeForce GTX1050 avec 4 Go GDDR5
PC Gamer MSI GE75 Raider 8SE-251FR,,2199.0,17.3,43.9,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7-8750H,16.0,DDR4,1000.0,S-ATA,5400.0,256.0,NvMe PCI Express,26.85 x 39.7 x 2.75,2600.0,NVIDIA GeForce RTX2060 avec 6 Go
PC Hybride Microsoft Surface Book 2 13.5''- i7 8Go 256Go,4.2,2249.0,13.5,34.3,3000 x 2000,Windows 10 Pro,64.0,Intel Core i7-8650U,8.0,LPDDR3,,,,256.0,,31.2 x 1.5 x 23.2,1600.0,NVIDIA GeForce GTX1050 avec 2 Go GDDR5
PC Hybride Microsoft Surface Pro i7 8Go 256Go,4.0,1378.0,12.3,31.2,2736 x 1824,Windows 10,64.0,Intel Core i7-7660U,8.0,,,,,256.0,M.2 SATA,29.21 x 0.85 x 20.14,786.0,
Ordinateur portable Lenovo Yoga S730-13IWL-520,,1498.86,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,,,,1000.0,NvMe PCI Express,21 x 30.7 x 1.19,1200.0,
Ordinateur portable MSI P65 Creator 8SF-247FR,,2599.0,15.6,39.6,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7 8750H,16.0,DDR4,,,,512.0,NvMe PCI Express,24.77 x 35.77 x 1.79,1900.0,NVIDIA GeForce RTX2070 avec 8 Go
Ordinateur portable Lenovo Yoga S730-13IWL - 402,,1399.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,16.0,LPDDR4 SDRAM,1000.0,,,,,21 x 30.7 x 1.19,1200.0,
Ordinateur portable Lenovo Yoga S730-13IWL-619,,999.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,,,,256.0,NvMe PCI Express,21 x 30.7 x 1.19,1200.0,
"Ordinateur portable Huawei Matebook 13""",,1199.0,13.0,33.0,2160 x 1440,Windows 10,64.0,Intel Core i7 8ème génération,8.0,DDR4,,,,512.0,,28.6 x 1.49 x 21.1,1300.0,
PC Gamer Acer Aspire A717-72G-752W,4.0,1259.0,17.0,43.2,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,S-ATA,5400.0,128.0,M.2,42.33 x 2.82 x 28.99,3000.0,NVIDIA GeForce GTX1060 avec 6 Go GDDR5
Ordinateur portable HP Spectre 13-af005nf,4.0,1359.99,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,LPDDR3 SDRAM,,,,512.0,PCI Express,22.42 x 1.04 x 30.82,1100.0,
PC Gamer HP OMEN 15-dc0018nf,,1439.99,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4 SDRAM,1000.0,S-ATA,7200.0,,,26.3 x 2.5 x 36,2500.0,NVIDIA GeForce GTX1070 avec 8 Go GDDR5
PC Gamer Asus STRIX-GL703VD-GC066T,,1299.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-7700HQ,,DDR4,1000.0,S-ATA,7200.0,128.0,M.2 SATA,41.8 x 2.4 x 28,2600.0,NVIDIA GeForce GTX1050 avec 4 Go GDDR5
PC Hybride Microsoft Surface Book 2 13.5''- i7 16Go 1TB,,3449.0,13.5,34.3,3000 x 2000,Windows 10 Pro,64.0,Intel Core i7-8650U,16.0,LPDDR3,,,,1000.0,,31.2 x 1.5 x 23.2,1600.0,NVIDIA GeForce GTX1050 avec 2 Go GDDR5
PC Hybride Microsoft Surface Book 2 15''- i7 16Go 256Go,,2799.0,15.0,38.1,3240 x 2160,Windows 10 Pro,64.0,Intel Core i7-8650U,16.0,,,,,256.0,,34.3 x 2.3 x 25.1,1900.0,NVIDIA GeForce GTX1060 avec 6 Go
PC Gamer Gigabyte Aero 15X V8 B4K5W10P-FR,,2999.0,15.6,39.6,1920 x 1080,Windows 10 Pro,64.0,Intel Core i7-8750H,16.0,DDR4,,,,512.0,,35.6 x 1.8 x 25,2000.0,NVIDIA GeForce GTX1070 avec 8 Go GDDR5
Ordinateur portable HP Spectre x360 13-ap0013nf,,1999.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7 8565U,16.0,DDR4 SDRAM,,,,512.0,PCI Express,21.79 x 1.47 x 30.88,1300.0,
Ordinateur portable HP Spectre x360 15-df0005nf,,2199.0,15.6,39.6,3840 x 2160,Windows 10,64.0,Intel Core i7 8750H,16.0,DDR4 SDRAM,,,,512.0,PCI Express,25 x 1.93 x 36.1,2200.0,NVIDIA GeForce GTX1050 TI avec 4 Go GDDR5
Ordinateur portable HP Spectre x360 13-ap0012nf,5.0,1699.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7 8565U,8.0,DDR4 SDRAM,,,,512.0,PCI Express,21.79 x 1.47 x 30.88,1300.0,
PC Gamer Asus ZEPHYRUS-S-GX535GW-ES039R,,2255.5,15.0,38.1,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4,,,,512.0,PCI Express,1.57 x 36 x 26.8,2100.0,NVIDIA GeForce RTX2070 avec 8 Go
PC Gamer Asus ZEPHYRUS-S-GX535GW-ES040R,,2428.5,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4,1000.0,S-ATA,,,,1.57 x 36 x 26.8,2100.0,NVIDIA GeForce RTX2070 avec 8 Go
PC Gamer Asus GRIFFIN-GZ755GX-E5029T,,5399.1,17.3,43.9,1920 x 1080,Windows 10,32.0,Intel Core i7-8750H,32.0,DDR4,1000.0,S-ATA,,,,5.1 x 42.5 x 31.9,4700.0,NVIDIA GeForce RTX2080 avec 8 Go
PC Gamer Asus ZEPHYRUS-S-GX535GX-ES035R,,2879.99,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4,,,,1000.0,,1.57 x 36 x 26.8,2100.0,NVIDIA GeForce RTX2080 avec 8 Go
Ordinateur portable HP Spectre folio 13 ak0003nf,,2399.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8500Y,16.0,LPDDR3 SDRAM,,,,1000.0,NvMe PCI Express,32.01 x 1.54 x 23.45,3000.0,
Ordinateur portable HP Spectre folio 13 ak0001nf,,2099.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8500Y,8.0,LPDDR3 SDRAM,,,,256.0,NvMe PCI Express,32.01 x 1.54 x 23.45,1500.0,
PC Gamer Lenovo Legion Y730-17ICH-538,4.0,1699.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7 8750H,16.0,DDR4,1000.0,,,256.0,,30.4 x 41.2 x 2.2,2900.0,NVIDIA GeForce GTX1050 TI avec 4 Go GDDR5
Ordinateur portable Lenovo Yoga S730-13IWL- 426,,999.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,LPDDR3,,,,256.0,,21 x 30.7 x 1.19,1200.0,
